id,email,passwordHash,firstName,lastName,role,refreshTokenHash,createdAt,updatedAt
fae1faf5-f1c1-4fd6-9cdb-e2b2d764df5f,user0@gmail.com,placeholder,User0,Test0,ADMIN,,2026-01-01,2026-01-01
73cfa26c-afda-4f08-a6e8-c2899e1f9a0c,user1@gmail.com,placeholder,User1,Test1,CUSTOMER,,2026-01-01,2026-01-01
b6f62ccf-130c-401c-81fd-bdb24cf23917,user2@gmail.com,placeholder,User2,Test2,CUSTOMER,,2026-01-01,2026-01-01
a0a57413-6002-43f6-8ad9-b62a9d714f7d,user3@gmail.com,placeholder,User3,Test3,CUSTOMER,,2026-01-01,2026-01-01
8ef512c0-6b9d-4288-92d3-611940ad19e6,user4@gmail.com,placeholder,User4,Test4,CUSTOMER,,2026-01-01,2026-01-01
791a4b9c-1ee5-4797-a05b-45081574c58d,user5@gmail.com,placeholder,User5,Test5,CUSTOMER,,2026-01-01,2026-01-01
3dc25cb7-2819-49fe-bf45-fd774d1cf17a,user6@gmail.com,placeholder,User6,Test6,CUSTOMER,,2026-01-01,2026-01-01
10edcf06-9e9f-45a1-beca-14f3a243a89e,user7@gmail.com,placeholder,User7,Test7,CUSTOMER,,2026-01-01,2026-01-01
e34e5ff0-3c3e-4487-9d42-5336bdf3b3db,user8@gmail.com,placeholder,User8,Test8,CUSTOMER,,2026-01-01,2026-01-01
a054731a-138b-48e1-b269-d4279fc32bfd,user9@gmail.com,placeholder,User9,Test9,CUSTOMER,,2026-01-01,2026-01-01
9fa6b33b-83d8-49b9-8764-5dd0033d2b6a,user10@gmail.com,placeholder,User10,Test10,CUSTOMER,,2026-01-01,2026-01-01
e6a65a85-da04-4be4-8ec9-1dc12cbc8eff,user11@gmail.com,placeholder,User11,Test11,CUSTOMER,,2026-01-01,2026-01-01
669f7ec3-2a0a-4d69-85dd-122fc1f244a6,user12@gmail.com,placeholder,User12,Test12,CUSTOMER,,2026-01-01,2026-01-01
c18c9bb0-ba5d-460c-b3ca-d5603ec27447,user13@gmail.com,placeholder,User13,Test13,CUSTOMER,,2026-01-01,2026-01-01
80a817a2-0f7d-414b-8c05-ec8b628f8c90,user14@gmail.com,placeholder,User14,Test14,CUSTOMER,,2026-01-01,2026-01-01
4112ed5c-2cb9-4c48-9b8a-d5d24de38611,user15@gmail.com,placeholder,User15,Test15,CUSTOMER,,2026-01-01,2026-01-01
af7d0406-89fb-42f8-b27b-e5d7845446f8,user16@gmail.com,placeholder,User16,Test16,CUSTOMER,,2026-01-01,2026-01-01
d23b48d2-6fc6-40d2-b125-95b128db2257,user17@gmail.com,placeholder,User17,Test17,CUSTOMER,,2026-01-01,2026-01-01
079fc7cd-808f-4892-97fe-505dd2c1769c,user18@gmail.com,placeholder,User18,Test18,CUSTOMER,,2026-01-01,2026-01-01
9670f0f8-ae58-468b-9942-2a8f17e148c4,user19@gmail.com,placeholder,User19,Test19,CUSTOMER,,2026-01-01,2026-01-01
3ea1ed0a-a62c-453e-aab2-114cb00a1e9c,user20@gmail.com,placeholder,User20,Test20,CUSTOMER,,2026-01-01,2026-01-01
645b14f4-d8d9-45e8-9413-73f46565bcbc,user21@gmail.com,placeholder,User21,Test21,CUSTOMER,,2026-01-01,2026-01-01
0b87ea13-500c-4d05-95b7-23a7c1c356c3,user22@gmail.com,placeholder,User22,Test22,CUSTOMER,,2026-01-01,2026-01-01
517539f8-1570-4e66-a34b-030aac5ec51e,user23@gmail.com,placeholder,User23,Test23,CUSTOMER,,2026-01-01,2026-01-01
e8b805a4-6ccc-40fa-9ba3-1a680bc5c28b,user24@gmail.com,placeholder,User24,Test24,CUSTOMER,,2026-01-01,2026-01-01
0f04fc76-c528-4085-a542-9310567def74,user25@gmail.com,placeholder,User25,Test25,CUSTOMER,,2026-01-01,2026-01-01
be1dcfb0-e2e2-4232-a911-e8460bc58b8e,user26@gmail.com,placeholder,User26,Test26,CUSTOMER,,2026-01-01,2026-01-01
88d2b702-790d-4a4d-ab03-8f7965d467d9,user27@gmail.com,placeholder,User27,Test27,CUSTOMER,,2026-01-01,2026-01-01
8c296604-4e97-4ea8-8cb2-6959b333e854,user28@gmail.com,placeholder,User28,Test28,CUSTOMER,,2026-01-01,2026-01-01
7c25679c-2472-46c5-9a68-0dbbb92991db,user29@gmail.com,placeholder,User29,Test29,CUSTOMER,,2026-01-01,2026-01-01
